date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:44:54	36868/36868	---M--	200	added ('OK')	application/javascript	date:Fri,%2016%20Jun%202017%2020:36:32%20GMT	http://wordpressboss.com/cp/tonson-demo/assets/bootstrap/js/bootstrap.min.js	C:/My%20Web%20Sites/template/wordpressboss.com/cp/tonson-demo/assets/bootstrap/js/bootstrap.min.js	(from http://wordpressboss.com/cp/tonson-demo/)
01:44:57	14916/14916	---M--	200	added ('OK')	application/javascript	date:Fri,%2016%20Jun%202017%2020:36:56%20GMT	http://wordpressboss.com/cp/tonson-demo/assets/owlcarousel/js/owl.carousel.min.js	C:/My%20Web%20Sites/template/wordpressboss.com/cp/tonson-demo/assets/owlcarousel/js/owl.carousel.min.js	(from http://wordpressboss.com/cp/tonson-demo/)
01:44:59	20221/20221	---M--	200	added ('OK')	application/javascript	date:Fri,%2016%20Jun%202017%2020:36:01%20GMT	http://wordpressboss.com/cp/tonson-demo/assets/js/jquery.magnific-popup.min.js	C:/My%20Web%20Sites/template/wordpressboss.com/cp/tonson-demo/assets/js/jquery.magnific-popup.min.js	(from http://wordpressboss.com/cp/tonson-demo/)
01:45:00	85580/85580	---M--	200	added ('OK')	application/javascript	date:Fri,%2016%20Jun%202017%2020:36:03%20GMT	http://wordpressboss.com/cp/tonson-demo/assets/js/jquery.min.js	C:/My%20Web%20Sites/template/wordpressboss.com/cp/tonson-demo/assets/js/jquery.min.js	(from http://wordpressboss.com/cp/tonson-demo/)
01:45:00	204120/204120	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Jun%202017%2020:36:48%20GMT	http://wordpressboss.com/cp/tonson-demo/assets/images/work/6.jpg	C:/My%20Web%20Sites/template/wordpressboss.com/cp/tonson-demo/assets/images/work/6.jpg	(from http://wordpressboss.com/cp/tonson-demo/)
01:45:01	12636/12636	---M--	200	added ('OK')	application/javascript	date:Fri,%2016%20Jun%202017%2020:36:05%20GMT	http://wordpressboss.com/cp/tonson-demo/assets/js/jquery.stellar.min.js	C:/My%20Web%20Sites/template/wordpressboss.com/cp/tonson-demo/assets/js/jquery.stellar.min.js	(from http://wordpressboss.com/cp/tonson-demo/)
01:45:01	8415/8415	---M--	200	added ('OK')	application/javascript	date:Fri,%2016%20Jun%202017%2020:36:06%20GMT	http://wordpressboss.com/cp/tonson-demo/assets/js/wow.min.js	C:/My%20Web%20Sites/template/wordpressboss.com/cp/tonson-demo/assets/js/wow.min.js	(from http://wordpressboss.com/cp/tonson-demo/)
01:45:03	2468/2468	---M--	200	added ('OK')	application/javascript	date:Fri,%2016%20Jun%202017%2020:36:01%20GMT	http://wordpressboss.com/cp/tonson-demo/assets/js/google-map.js	C:/My%20Web%20Sites/template/wordpressboss.com/cp/tonson-demo/assets/js/google-map.js	(from http://wordpressboss.com/cp/tonson-demo/)
01:45:03	50986/50986	---M--	200	added ('OK')	application/javascript	date:Fri,%2016%20Jun%202017%2020:36:03%20GMT	http://wordpressboss.com/cp/tonson-demo/assets/js/jquery.mixitup.js	C:/My%20Web%20Sites/template/wordpressboss.com/cp/tonson-demo/assets/js/jquery.mixitup.js	(from http://wordpressboss.com/cp/tonson-demo/)
01:45:04	28649/28649	---M--	200	added ('OK')	application/javascript	date:Fri,%2016%20Jun%202017%2020:36:00%20GMT	http://wordpressboss.com/cp/tonson-demo/assets/js/gmap3.min.js	C:/My%20Web%20Sites/template/wordpressboss.com/cp/tonson-demo/assets/js/gmap3.min.js	(from http://wordpressboss.com/cp/tonson-demo/)
01:45:04	10620/10620	---M--	200	added ('OK')	application/javascript	date:Fri,%2016%20Jun%202017%2020:36:05%20GMT	http://wordpressboss.com/cp/tonson-demo/assets/js/scripts.js	C:/My%20Web%20Sites/template/wordpressboss.com/cp/tonson-demo/assets/js/scripts.js	(from http://wordpressboss.com/cp/tonson-demo/)
01:45:05	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2016%20Jun%202017%2020:36:24%20GMT	http://wordpressboss.com/cp/tonson-demo/assets/bootstrap/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/template/wordpressboss.com/cp/tonson-demo/assets/bootstrap/fonts/glyphicons-halflings-regular.eot	(from http://wordpressboss.com/cp/tonson-demo/assets/bootstrap/css/bootstrap.min.css)
01:45:07	18028/18028	---M--	200	added ('OK')	text/plain	date:Fri,%2016%20Jun%202017%2020:36:28%20GMT	http://wordpressboss.com/cp/tonson-demo/assets/bootstrap/fonts/glyphicons-halflings-regular.woff2	C:/My%20Web%20Sites/template/wordpressboss.com/cp/tonson-demo/assets/bootstrap/fonts/glyphicons-halflings-regular.woff2	(from http://wordpressboss.com/cp/tonson-demo/assets/bootstrap/css/bootstrap.min.css)
01:45:07	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2016%20Jun%202017%2020:36:24%20GMT	http://wordpressboss.com/cp/tonson-demo/assets/bootstrap/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/template/wordpressboss.com/cp/tonson-demo/assets/bootstrap/fonts/glyphicons-halflings-regulard41d.eot	(from http://wordpressboss.com/cp/tonson-demo/assets/bootstrap/css/bootstrap.min.css)
01:45:09	108738/108738	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2016%20Jun%202017%2020:36:25%20GMT	http://wordpressboss.com/cp/tonson-demo/assets/bootstrap/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/template/wordpressboss.com/cp/tonson-demo/assets/bootstrap/fonts/glyphicons-halflings-regular.svg	(from http://wordpressboss.com/cp/tonson-demo/assets/bootstrap/css/bootstrap.min.css)
01:45:10	23424/23424	---M--	200	added ('OK')	application/x-font-woff	date:Fri,%2016%20Jun%202017%2020:36:27%20GMT	http://wordpressboss.com/cp/tonson-demo/assets/bootstrap/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/template/wordpressboss.com/cp/tonson-demo/assets/bootstrap/fonts/glyphicons-halflings-regular.woff	(from http://wordpressboss.com/cp/tonson-demo/assets/bootstrap/css/bootstrap.min.css)
